,org_string,supplier_given_id,addr_care_of,addr_pobox,addr_line1,addr_line2,addr_line3,addr_post_town,addr_county,addr_country,addr_postcode,supplier_given_category,supplier_legal_form,country_code,close_date,open_date,accounts_ref_day,accounts_ref_month,accounts_next_due_date,accounts_last_made_up_date,accounts_category,returns_next_due_date,returns_last_made_up_date,uri,notes,website,telephone,twitter_account,facebook_account,youtube_account,feed_url,last_checked,created_at,updated_at,email,unspsc_classification,data_source,input_line_num,care_quality_comm_provider_id,edubase_establishment_num,supplier_acronym,supplier_code,supplier_tax_id,duns_number,entity_id,other_comphse_num,supplier_id,rid,group_string,org_type,company_or_not,obtained_id,id_mismatch
0,FIRST CLASS CLEANING AND CATERING SERVICES LIMITED,7390513,,,10 THE AVENUE,,,FILEY,NORTH YORKSHIRE,UNITED KINGDOM,YO14 9AG,Private Limited Company,Active,GB,,2010-09-28,31.0,10.0,2014-07-31,2012-10-31,TOTAL EXEMPTION SMALL,2013-10-26,2012-09-28,http://business.data.gov.uk/id/company/07390513,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part2_4.csv~,229667,,,,,,,,,07390513_com,3608905.0,,Private Limited Company,Company,7390513,False
1,THE EXCHANGE CATERING LIMITED,7390542,,,RIVERSIDE HOUSE,1 - 5 COMO STREET,,ROMFORD,ESSEX,UNITED KINGDOM,RM7 7DN,Private Limited Company,Active,GB,,2010-09-28,31.0,12.0,2013-09-30,2011-12-31,TOTAL EXEMPTION SMALL,2013-10-26,2012-09-28,http://business.data.gov.uk/id/company/07390542,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part4_4.csv,312516,,,,,,,,,07390542_com,3608923.0,,Private Limited Company,Company,7390542,False
2,R S B CATERING SUPPLIES LIMITED,7391007,,,213 THE AVENUE,ACCOKS GREEN,,BIRMINGHAM,WEST MIDLANDS,ENGLAND,B27 6NP,Private Limited Company,Active,GB,,2010-09-29,31.0,3.0,2013-12-31,2012-03-31,TOTAL EXEMPTION SMALL,2013-10-27,2012-09-29,http://business.data.gov.uk/id/company/07391007,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part3_4.csv,657966,,,,,,,,,07391007_com,3609220.0,,Private Limited Company,Company,7391007,False
3,1ST CATERING LTD,7391036,,,49 HIGH STREET,,,SAFFRON WALDEN,ESSEX,UNITED KINGDOM,CB10 1AR,Private Limited Company,Active,GB,,2010-09-29,31.0,10.0,2013-07-31,2011-10-31,TOTAL EXEMPTION SMALL,2013-10-27,2012-09-29,http://business.data.gov.uk/id/company/07391036,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part1_4.csv,12250,,,,,,,,,07391036_com,3609235.0,,Private Limited Company,Company,7391036,False
4,LA CARTA CATERING LIMITED,7392420,,,1ST FLOOR,11 CHURCH STREET,,MELKSHAM,WILTSHIRE,ENGLAND,SN12 6LS,Private Limited Company,Active,GB,,2010-09-30,30.0,9.0,2013-06-30,2011-09-30,TOTAL EXEMPTION SMALL,2013-10-28,2012-09-30,http://business.data.gov.uk/id/company/07392420,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part2_4.csv~,817459,,,,,,,,,07392420_com,3610138.0,,Private Limited Company,Company,7392420,False
5,A.G.A. CATERING LIMITED,7393195,,,31 COLINMANDER GARDENS,,,ORMSKIRK,LANCASHIRE,,L39 4TE,Private Limited Company,Active,GB,,2010-09-30,30.0,9.0,2014-06-30,2012-09-30,TOTAL EXEMPTION SMALL,2013-10-28,2012-09-30,http://business.data.gov.uk/id/company/07393195,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part1_4.csv,65992,,,,,,,,,07393195_com,3610646.0,,Private Limited Company,Company,7393195,False
6,CRUST CATERING LIMITED,7393726,,,17 HALL LANE,,,MAGHULL,MERSEYSIDE,UNITED KINGDOM,L31 3DY,Private Limited Company,Active,GB,,2010-10-01,31.0,1.0,2013-10-31,2012-01-31,TOTAL EXEMPTION SMALL,2013-10-29,2012-10-01,http://business.data.gov.uk/id/company/07393726,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part1_4.csv,749540,,,,,,,,,07393726_com,3610995.0,,Private Limited Company,Company,7393726,False
7,TWINNS (EVENTS & CATERING) LIMITED,7393852,,,6 THE CROFT,CARPENTERS LANE,,CIRENCESTER,GLOUCESTERSHIRE,ENGLAND,GL7 1EE,Private Limited Company,Active,GB,,2010-10-01,31.0,10.0,2013-07-31,2011-10-31,TOTAL EXEMPTION SMALL,2013-10-29,2012-10-01,http://business.data.gov.uk/id/company/07393852,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part4_4.csv,454420,,,,,,,,,07393852_com,3611077.0,,,,7393852,False
8,CILANTRO CATERING LIMITED,7394236,,,27 LONGFIELD STREET,,,LONDON,,ENGLAND,SW18 5RD,Private Limited Company,Active,GB,,2010-10-01,31.0,10.0,2014-07-31,2012-10-31,TOTAL EXEMPTION SMALL,2013-10-29,2012-10-01,http://business.data.gov.uk/id/company/07394236,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part1_4.csv,624283,,,,,,,,,07394236_com,3611309.0,,Private Limited Company,Company,7394236,False
9,TINA'S CATERING SERVICES LTD,7394772,,,162 AYCLIFFE ROAD,,,BOREHAMWOOD,HERTS,,WD6 4EG,Private Limited Company,Active,GB,,2010-10-02,31.0,10.0,2014-07-31,2012-10-31,TOTAL EXEMPTION SMALL,2013-10-30,2012-10-02,http://business.data.gov.uk/id/company/07394772,,,,,,,,,2013-09-05,,,,/home/ianmakgill/kettle/SpendNetwork/raw data/master data/Unprocessed/BasicCompanyData-2013-08-01-part4_4.csv,388576,,,,,,,,,07394772_com,3611657.0,,Private Limited Company,Company,7394772,False
